domain_id	Function_pfam	Clan_pfam	Gene_pfam
PF00892	EamA-like transporter family	CL0184	EamA
PF13307	Helicase C-terminal domain	CL0023	Helicase_C_2
PF04851	Type III restriction enzyme, res subunit	CL0023	ResIII
PF04851	Type III restriction enzyme, res subunit	CL0023	ResIII
PF01555	DNA methylase	CL0063	N6_N4_Mtase
PF12564	Type III restriction/modification enzyme methylation subunit		TypeIII_RM_meth
PF13508	Acetyltransferase (GNAT) domain	CL0257	Acetyltransf_7
PF00211	Adenylate and Guanylate cyclase catalytic domain	CL0276	Guanylate_cyc
PF18967	Pycsar effector protein		PycTM
PF01610	Transposase	CL0219	DDE_Tnp_ISL3
PF14690	zinc-finger of transposase IS204/IS1001/IS1096/IS1165	CL0167	zf-ISL3
